From,To,bearing,distance
R2,X,332.8918670617319,1.5628281955954604
R2,Y,323.6356837838091,1.5155704426954584
R2,Z,341.20095570827914,1.6436307776882553
RYC,A,183.93079492969684,1.0236728972957383
RYC,B,107.00120712713453,1.9446677822669094
RYC,D,107.09076681803776,5.63034461853983
RYC,E,98.75844835101611,7.220290188659358
RYC,G,90.95587124904085,9.96371554859906
RYC,H,99.9775623954186,11.101875670826033
RYC,I,41.467056355316345,9.598464003564388
RYC,J,114.2065125404207,6.085696879656499
RYC,K,98.27673844822897,2.7773222381712372
RYC,L,130.7580980291092,3.7698158145505
RYC,M,113.3757009351338,4685.452450570173
RYC,N,100.02116913760369,3.286680233669655
RYC,O,110.17985849563138,6.902924864370313
RYC,R1,184.54151144234243,1.7295407246334038
RYC,R2,175.11418740440786,1.8851321434887076
RYC,RYC,13,0
RYC,T,158.4123703325206,1.4298143905317484
RYC,S/F,99.9776469929073,11.101869776197184
RYC,U,147.12472683677157,1.427319915899119
RYC,V,126.9228659982902,1.9194480546761432
RYC,W,168.81254540733016,1.2539049399763293
RYC,X,228.55459318599358,0.7361106198642212
RYC,Y,228.28950847572247,0.9888953232970776
RYC,Z,228.88028671995514,0.49025381385410965
T,A,297.350669356183,0.6712084450069868
T,B,60.30400747700014,1.5354272326481049
T,D,93.84266738503368,4.866522940139874
T,E,88.0179127192713,6.6140355244151285
T,G,82.98360495256009,9.507701659541084
T,H,93.2781093107551,10.424841949717731
T,I,34.38776551455135,10.325341605419474
T,J,103.07401524611225,5.158007259252445
T,K,67.30953691868785,2.4089677054771292
T,L,115.92223078514735,2.5898066048303687
T,M,113.38369281138046,4684.442097792585
T,N,74.3954482731342,2.8143609840722843
T,O,100.03090796946742,6.045318208491092
T,R1,239.25265254440527,0.7715457396104334
T,R2,213.67739477957736,0.6593428118420501
T,RYC,338.4239201818129,1.4298143905317484
T,T,13,0
T,S/F,93.2781949989618,10.424834179799497
T,U,62.2739235059816,0.28099313018503297
T,V,80.08761276357433,1.0237482597778507
T,W,289.3864542816887,0.2997564511554422
T,X,308.01759578523405,1.367913300734269
T,Y,297.98711197140756,1.4315716485669894
T,Z,318.37238277078444,1.34759027465747
S/F,A,274.8453744217683,11.04106270589866
S/F,B,278.65039597899283,9.17487681501651
S/F,D,272.93031074469576,5.558754168560157
S/F,E,282.40109673454515,3.8862519581510346
S/F,G,331.2196821869683,2.008055128527677
S/F,H,29.9146927569019,0
S/F,I,333.492743045638,10.20095826518466
S/F,J,264.0954487026785,5.413631219273756
S/F,K,280.702812276324,8.32617936271419
S/F,L,266.35034142251163,8.096295754651816
S/F,M,113.54268985680744,4674.652936157194
S/F,N,280.11721898347525,7.81519088858461
S/F,O,264.29122346215604,4.4782286523254955
S/F,R1,271.1899375049843,11.072701965094286
S/F,R2,270.39862368045783,10.773496188653302
S/F,RYC,280.13552224245666,11.101869776197184
S/F,T,273.4244876111688,10.424834179799497
S/F,S/F,13,0
S/F,U,274.238751390287,10.18501535278666
S/F,V,274.8438774718765,9.430989809127118
S/F,W,273.8692918513543,10.71314477366733
S/F,X,277.28583610186934,11.575196447096143
S/F,Y,276.34608058576333,11.74059570852371
S/F,Z,278.2203593985167,11.416125562653013
U,A,281.8768452851122,0.8633785699364602
U,B,59.86593037961791,1.2546373480000705
U,D,95.6666384889777,4.62945105099284
U,E,89.12016178616977,6.362103498004003
U,G,83.60245312997398,9.245399114219266
U,H,94.09539665650095,10.185022900406734
U,I,33.64358202428332,10.077834768056075
U,J,105.20332199665307,4.948704411309645
U,K,67.976281755966,2.1292019710605015
U,L,121.26070169795537,2.433795458316464
U,M,113.38749248874183,4684.265683245982
U,N,75.729420611884,2.540318107999203
U,O,101.72635227153131,5.825702138954401
U,R1,240.0621342583388,1.0522525284173718
U,R2,222.12368786697544,0.9159858300317744
U,RYC,327.1393075089365,1.427319915899119
U,T,242.2769533604854,0.28099313018503297
U,S/F,94.09548497464425,10.18501535278666
U,U,13,0
U,V,86.57575940883396,0.7610970581821659
U,W,266.6402342433665,0.5324073957150445
U,X,298.22186558903985,1.505310875443003
U,Y,289.6820919541871,1.6067269618753983
U,Z,307.4653592195204,1.441148043260097
V,A,274.7212623192752,1.6100729188886962
V,B,29.115314064931226,0.6688562895438239
V,D,97.45319717285838,3.8797782419105027
V,E,89.47613378391264,5.601858688625548
V,G,83.34627107170417,8.48541847545347
V,H,94.71090115579398,9.430997190756296
V,I,30.04142914840037,9.638227520207195
V,J,108.5049434071791,4.234461797928312
V,K,58.203528230466645,1.4286312572174593
V,L,134.7429807383914,1.8591047151933655
V,M,113.39909002398667,4683.586412714152
V,N,71.17241280971473,1.7985292518023213
V,O,103.97426267989272,5.0949436990457215
V,R1,251.16300933830107,1.7662898040966906
V,R2,242.19886443167624,1.5535787426668652
V,RYC,306.9478373811389,1.9194480546761432
V,T,260.1010308218629,1.0237482597778507
V,S/F,94.71099701406928,9.430989809127118
V,U,266.5861478259677,0.7610970581821659
V,V,13,0
V,W,266.61268571587084,1.2935042582674428
V,X,287.72590506229005,2.18995179456142
V,Y,282.31477773444266,2.326024058029091
V,Z,293.5977174737912,2.077151461806432
W,A,303.6773912177049,0.3766401364222276
W,B,67.75167569931864,1.7465103160177433
W,D,94.73110597273615,5.155941847520695
W,E,88.92143562595464,6.894050755921126
W,G,83.76052815627759,9.777099088831145
W,H,93.71867517364774,10.713152422290243
W,I,35.977801956718054,10.406959454702681
W,J,103.41588454875057,5.4560458651430155
W,K,71.67056046563471,2.639116552285189
W,L,115.24103114050808,2.8878164972703404
W,M,113.37938102778162,4684.7411250725745
W,N,77.60647451506884,3.064758449024319
W,O,100.46695417116342,6.341274699681883
W,R1,217.59079287053225,0.6234120504021377
W,R2,187.2801813409037,0.653461971933501
W,RYC,348.81985621065485,1.2539049399763293
W,T,109.3822160203593,0.2997564511554422
W,S/F,93.71875887592489,10.71314477366733
W,U,86.63296597790742,0.5324073957150445
W,V,86.59502903215832,1.2935042582674428
W,W,13,0
W,X,313.0625910936803,1.0880880053538509
W,Y,300.24426293841765,1.1360708171514484
W,Z,325.9909419235984,1.0950589055221367
X,A,137.9487384594646,0.7191171297545522
X,B,91.92648230806736,2.4128342321800824
X,D,101.124972471018,6.047249427181862
X,E,94.5468124675167,7.712209715837493
X,G,88.24509617639274,10.519007276884642
X,H,97.12180439278546,11.57520314956942
X,I,41.9647681271785,10.3293491757632
X,J,108.2083265934728,6.424280167264628
X,K,88.47638446743792,3.301331150831098
X,L,120.07883388568212,3.937798290276557
X,M,113.36726805437235,4685.765639441621
X,N,91.27451339135314,3.789262274261252
X,O,105.07077794368348,7.281612568344176
X,R1,161.45313213072302,1.3045853501884652
X,R2,152.87754090006524,1.5628281955954604
X,RYC,48.54850082563695,0.7361106198642212
X,T,127.9999559753951,1.367913300734269
X,S/F,97.12188398001047,11.575196447096143
X,U,118.20119507515017,1.505310875443003
X,V,107.69484467402202,2.18995179456142
X,W,133.0491898627647,1.0880880053538509
X,X,13,0
X,Y,227.51156131784361,0.2528155229911477
X,Z,47.899099835331526,0.24588052738251703
Y,A,118.52919235514395,0.7604411648357371
Y,B,88.02155750201126,2.5994464489527407
Y,D,99.2419464813151,6.200568398337496
Y,E,93.20062511953364,7.88668587224633
Y,G,87.36061573413986,10.711849320817871
Y,H,96.18001756448695,11.740602673717731
Y,I,42.095053887020185,10.581009129980131
Y,J,106.27792287140414,6.551726476152536
Y,K,85.75707501268084,3.496166228301768
